Id,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,YearBuilt,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,LotArea,Neighborhood,Condition,HouseStyle,YearRemodAdd,SalePrice
1,2,702,2,1003,1948,1,0,6,8,2,15825,Downtown,Poor,1Story,1975,249453
2,9,1414,3,902,1977,3,1,1,6,1,13149,Hillcrest,Fair,2Story,1998,421399
3,2,979,3,396,1965,2,1,1,7,2,6090,Riverside,Poor,Colonial,1983,256473
4,6,2964,1,284,1925,3,0,3,7,0,5309,Riverside,Average,Ranch,2006,344551
5,6,1266,2,1455,1946,3,1,6,10,2,7607,Lakeside,Fair,Ranch,1994,348691
6,9,1499,2,229,1949,1,1,4,8,0,8913,OakPark,Fair,Ranch,1999,364253
7,8,1185,2,571,1951,3,1,6,13,2,15087,OakPark,Fair,2Story,2016,323688
8,2,1226,1,1729,1996,1,1,4,9,2,10238,Downtown,Poor,Colonial,2020,287471
9,5,3748,2,456,1957,2,0,4,7,1,18403,Midtown,Excellent,1Story,1995,443711
10,4,1226,2,661,1989,3,0,5,11,1,2638,Suburbs,Average,SplitLevel,2004,250130
11,1,1586,0,350,2013,2,0,5,9,0,17574,Midtown,Average,Colonial,2022,239682
12,9,3693,1,1276,1971,3,1,4,11,0,10123,Lakeside,Poor,SplitLevel,1972,509281
13,10,2868,1,2410,1948,1,0,6,8,0,4208,Downtown,Average,1Story,2013,474195
14,4,2808,1,2338,1993,2,0,4,10,0,5090,Suburbs,Good,SplitLevel,2006,397861
15,7,2512,0,403,1927,2,1,1,5,0,8232,Meadows,Fair,Ranch,1950,323225
16,2,2415,0,207,2003,3,0,1,6,0,15317,Meadows,Good,2Story,2015,295684
17,1,1274,3,8,1969,2,1,3,9,2,17947,Midtown,Fair,SplitLevel,1982,275889
18,9,849,2,234,1926,3,1,5,10,0,18640,Suburbs,Fair,1Story,2002,312694
19,2,3365,1,1653,1935,3,0,5,9,2,4686,Riverside,Excellent,Colonial,2001,370989
20,6,1577,2,1621,1936,3,1,4,10,0,2305,Meadows,Excellent,Colonial,1948,333551
21,2,2802,1,2072,1953,1,1,1,4,1,11338,Midtown,Good,Colonial,1991,321002
22,9,632,2,424,1937,2,0,1,5,1,11232,Lakeside,Average,2Story,2018,298288
23,5,2670,3,1028,1926,1,1,3,5,0,12929,Midtown,Average,2Story,2020,354087
24,9,639,0,308,2008,1,0,3,6,1,6176,Downtown,Average,SplitLevel,2009,306326
25,6,1460,1,421,1965,3,1,5,10,0,7324,Midtown,Good,1Story,1976,303641
26,7,3885,1,1092,1940,3,0,4,8,1,9288,Lakeside,Good,SplitLevel,1979,459154
